WMC,class_BC,chemin,class,classe_LOC,classe_CLOC,classe_DC
26,0.026115859449192782,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\AxisLocation.java,AxisLocation ,81,55,0.6790123456790124
119,0.0037593984962406017,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\AxisSpace.java,AxisSpace,342,153,0.4473684210526316
43,0.014485049833887044,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\AxisState.java,AxisState ,175,109,0.6228571428571429
12,0.07291666666666667,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\CategoryAnchor.java,CategoryAnchor ,48,42,0.875
543,8.11393038219312E-4,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\CategoryAxis.java,CategoryAxis extends Axis,1296,571,0.44058641975308643
84,0.006758161779995841,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\CategoryLabelPosition.java,CategoryLabelPosition,229,130,0.5676855895196506
125,0.0036939890710382516,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\CategoryLabelPositions.java,CategoryLabelPositions,366,169,0.46174863387978143
12,0.07407407407407407,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\CategoryLabelWidthType.java,CategoryLabelWidthType ,45,40,0.8888888888888888
43,0.013565891472868219,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\CategoryTick.java,CategoryTick extends Tick ,132,77,0.5833333333333334
36,0.018253968253968255,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\CompassFormat.java,CompassFormat extends NumberFormat ,140,92,0.6571428571428571
406,9.283458052871056E-4,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\CyclicNumberAxis.java,CyclicNumberAxis extends NumberAxis ,1048,395,0.37690839694656486
680,5.353997886579782E-4,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\DateAxis.java,DateAxis extends ValueAxis,1670,608,0.36407185628742517
32,0.0203125,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\DateTick.java,DateTick extends ValueTick ,120,78,0.65
14,0.0633423180592992,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\DateTickMarkPosition.java,DateTickMarkPosition ,53,47,0.8867924528301887
142,0.003932110010219043,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\DateTickUnit.java,DateTickUnit extends TickUnit,317,177,0.5583596214511041
16,0.0472972972972973,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\DateTickUnitType.java,DateTickUnitType ,74,56,0.7567567567567568
75,0.007188405797101449,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\ExtendedCategoryAxis.java,ExtendedCategoryAxis extends CategoryAxis ,230,124,0.5391304347826087
439,0.001092244346557634,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\LogarithmicAxis.java,LogarithmicAxis extends NumberAxis ,951,456,0.4794952681388013
424,9.84944764884153E-4,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\LogAxis.java,LogAxis extends ValueAxis ,965,403,0.41761658031088084
15,0.053703703703703705,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\LogTick.java,LogTick extends ValueTick ,72,58,0.8055555555555556
74,0.0060866651775742684,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\MarkerAxisBand.java,MarkerAxisBand,242,109,0.45041322314049587
186,0.002526071216296536,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\ModuloAxis.java,ModuloAxis extends NumberAxis ,398,187,0.46984924623115576
112,0.005124223602484472,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\MonthDateFormat.java,MonthDateFormat extends DateFormat ,230,132,0.5739130434782609
469,8.953558102345416E-4,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\NumberAxis.java,NumberAxis extends ValueAxis,1024,430,0.419921875
20,0.03869047619047619,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\NumberTick.java,NumberTick extends ValueTick ,84,65,0.7738095238095238
49,0.012332990750256938,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\NumberTickUnit.java,NumberTickUnit extends TickUnit,139,84,0.60431654676259
96,0.0027745327102803737,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\NumberTickUnitSource.java,NumberTickUnitSource,214,57,0.26635514018691586
1,0.75,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\package-info.java,,4,3,0.75
600,6.51183970856102E-4,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\PeriodAxis.java,PeriodAxis extends ValueAxis,1098,429,0.3907103825136612
147,0.003443877551020408,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\PeriodAxisLabelInfo.java,PeriodAxisLabelInfo,320,162,0.50625
54,0.010043942247332079,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\QuarterDateFormat.java,QuarterDateFormat extends DateFormat,177,96,0.5423728813559322
41,0.016396802623488423,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\StandardTickUnitSource.java,StandardTickUnitSource,119,80,0.6722689075630253
174,0.0023886041865717016,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\SubCategoryAxis.java,SubCategoryAxis extends CategoryAxis,397,165,0.4156171284634761
302,0.0012739349028989312,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\SymbolAxis.java,SymbolAxis extends NumberAxis,681,262,0.38472834067547723
44,0.013317892298784018,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\Tick.java,Tick,157,92,0.5859872611464968
12,0.07407407407407407,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\TickType.java,TickType ,45,40,0.8888888888888888
56,0.011013686911890504,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\TickUnit.java,TickUnit,167,103,0.6167664670658682
59,0.010691003911342895,C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\TickUnits.java,TickUnits,195,123,0.6307692307692307
