WMC;class_BC;chemin;class;classe_LOC;classe_CLOC;classe_DC
555;7.039826711957859E-4;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\PeriodAxis.java;PeriodAxis extends ValueAxis;1098;429;0.3907103825136612
132;0.0038352272727272727;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\PeriodAxisLabelInfo.java;PeriodAxisLabelInfo implements Cloneable, Serializable ;320;162;0.50625
45;0.012052730696798493;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\QuarterDateFormat.java;QuarterDateFormat extends DateFormat;177;96;0.5423728813559322
36;0.018674136321195148;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\StandardTickUnitSource.java;StandardTickUnitSource implements TickUnitSource, Serializable ;119;80;0.6722689075630253
161;0.0025814728475992304;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\SubCategoryAxis.java;SubCategoryAxis extends CategoryAxis;397;165;0.4156171284634761
282;0.0013642848960123306;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\SymbolAxis.java;SymbolAxis extends NumberAxis implements Serializable ;681;262;0.38472834067547723
37;0.015837493544499915;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\Tick.java;;157;92;0.5859872611464968
13;0.06837606837606837;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\TickType.java;;45;40;0.8888888888888888
49;0.01258707075644629;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\TickUnit.java;;167;103;0.6167664670658682
51;0.012368024132730015;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\TickUnits.java;TickUnits implements TickUnitSource, Cloneable, Serializable ;195;123;0.6307692307692307
30;0.030630630630630633;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\TickUnitSource.java;TickUnitSource ;74;68;0.918918918918919
66;0.01389838231943495;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\Timeline.java;Timeline ;133;122;0.9172932330827067
595;8.342667336139971E-4;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\ValueAxis.java;;1523;756;0.4963887065003283
29;0.02270815811606392;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\axis\ValueTick.java;;123;81;0.6585365853658537
145;0.0038432066018272916;C:\Users\guomu\Documents\GitHub\IFT3913_Dev1\codeP4\src\main\java\org\jfree\chart\block\AbstractBlock.java;AbstractBlock implements Cloneable, Serializable ;585;326;0.5572649572649573
